"entrp_nm","load_addr","city_do_cd","city_gn_gu_cd","xpos_lo","ypos_la","area_nm","homepage_url","tel_no","reprsnt_menu_nm","menu_pc","base_ymd","id","naver_place_url","business_hours","naver_place_menu","naver_thumb_url"
교동빵집,강원 강릉시 강릉대로 198,"42","42150",128.892285,37.757756,강원,http://www.instagram.com/gyodongbbangjib/,"033-642-0455",플레인데니쉬 식빵 풀 사이즈,"9800원","2019-12-09",1,https://m.place.naver.com/place/1253183545,"목요일 08:00 - 18:00 매주 월 휴무, 빵 소진 시 마감|금요일 08:00 - 18:00 매주 월 휴무, 빵 소진 시 마감|토요일 08:00 - 18:00 매주 월 휴무, 빵 소진 시 마감|일요일 08:00 - 18:00 매주 월 휴무, 빵 소진 시 마감|화요일 08:00 - 18:00 매주 월 휴무, 빵 소진 시 마감|수요일 08:00 - 18:00 매주 월 휴무, 빵 소진 시 마감",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200112_33%2F1578800264748alodo_JPEG%2FnM3eTqIGVQVmcRdY9k5puDGb.jpg
르블레도르,강원 강릉시 강릉대로457번길 15 1층,"42","42150",128.91155,37.77489,강원,http://www.instagram.com/leble.dor,"033-920-5431",전통바게트,"3500원","2019-12-09",2,https://m.place.naver.com/restaurant/1588834856,"목요일 09:00 - 19:00|금요일 09:00 - 19:00|토요일 09:00 - 19:00|일요일 09:00 - 18:00 매달 둘째, 넷째 주만 영업/ 그 외 일요일 휴무|월요일 휴무|화요일 09:00 - 19:00|수요일 09:00 - 19:00",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191118_276%2F1574037989163mC8BY_JPEG%2FyNmKXkwy7MUJ4t8lU0E0QOLp.jpg
고메코나베이커리,강원 강릉시 강릉대로457번길 4-1,"42","42150",128.912949,37.774231,강원,"","033-652-0055",앙버터,"3800원","2019-12-09",3,https://m.place.naver.com/restaurant/1737820343,목요일 10:00 - 20:00 조기품절시 영업마감|금요일 10:00 - 20:00 조기품절시 영업마감|토요일 10:00 - 20:00 조기품절시 영업마감|일요일 휴무 매주 일요일 월요일 휴무|월요일 휴무 매주 일요일 월요일 휴무|화요일 10:00 - 20:00 조기품절시 영업마감|수요일 10:00 - 20:00 조기품절시 영업마감,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200706_255%2F1594004040701cUj9w_JPEG%2FYuweplEhJl24iOyl_d2hmJ9n.jpg
빵짓는농부,강원 강릉시 강변로 116,"42","42150",128.881681,37.745006,강원,"","033-646-2668",꼬마농부빵,"","2019-12-09",4,https://m.place.naver.com/restaurant/32181567,평일 11:00 - 19:00|토요일 11:00 - 16:00|일요일 휴무|월요일 휴무,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDA3MDRfMjEz%2FMDAxNTkzODU5NTk5OTkz.OWFwKaT-z9WoRL2Hqb0lR-TwT03LxS-sagwDbwqZ6Z4g.TWmIa4VaKck42ZrFzD1sg5gbR3JCaqws-lcYFL09rUgg.JPEG.mi_slife%2FKakaoTalk_20200704_191052072.jpg
바로방,강원 강릉시 경강로 2092,"42","42150",128.895932,37.754359,강원,"","033-646-4621",고로케,"1500원","2019-12-09",5,https://m.place.naver.com/place/1220426450,"",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191124_97%2F15745742528446m7oV_JPEG%2FR6NjsBY9FtME7I1yVE37vYCT.JPG.jpg
제빵소463,강원 강릉시 경포로463번안길 15 경포현대아파트 상가동,"42","42150",128.901206,37.801793,강원,https://463.modoo.at,"010-4918-4930",소보루 팥빵,"1600원","2019-12-09",6,https://m.place.naver.com/restaurant/37997713,평일 휴무 화요일만 영업합니다.|화요일 10:30 - 19:30 재고유무에따라변동,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201215_129%2F1608025360059E3Cz7_JPEG%2F101646267_247185499941539_4577597178677656424_n.jpg
싸전,강원 강릉시 금성로 54,"42","42150",128.895258,37.752129,강원,"","033-642-9056",생도너츠,"1000원","2019-12-09",7,https://m.place.naver.com/place/1993033035,매일 09:00 - 22:00,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170320_124%2F1489971059603L5Dpw_JPEG%2F2.jpg
만동제과,강원 강릉시 금성로 6 1층 만동제과,"42","42150",128.899517,37.75517,강원,http://www.instagram.com/_breadman__,"033-922-6387",마늘바게트,"5000원","2019-12-09",8,https://m.place.naver.com/restaurant/1038526987,매일 11:00 - 20:30 명절 휴무,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200614_162%2F1592133658577NykTM_JPEG%2FG-u7wR4BiFkSTZfshcc2hAVS.jpg
팡파미유,강원 강릉시 금성로13번길 11-1,"42","42150",128.899681,37.753718,강원,"","010-8297-7995",육쪽마늘빵,"3500원","2019-12-09",9,https://m.place.naver.com/restaurant/1980120165,"",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDEyMTVfMTA5%2FMDAxNjA4MDE4NDk3MDU0.lEsBSg06vfcSS-Pj0GjkyhyEXWTrFVlh0QfeO135jLog.dgTWRyHgDwC8w2CvMawa-M4FLpSUVRvjd6M8uCa1rD0g.JPEG.wjse99%2FIMG_0544.jpg
중화짬뽕빵,강원 강릉시 금성로13번길 17,"42","42150",128.90013,37.753309,강원,"","010-8824-6812",불짬뽕빵,"3000원","2019-12-09",10,https://m.place.naver.com/restaurant/1246478918,"매일 12:00 - 20:00 재료 소진시 마감|2TV생생정보 1242회, 21.02.02. 짬뽕빵|생방송투데이 2552회, 20.04.14. 짬뽕빵|생방송오늘아침 3307회, 19.09.27. 짬뽕빵|2TV생생정보 726회, 19.01.03. 짬뽕빵",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201210_292%2F1607593407702fxzxb_JPEG%2FF9s_pPk80hmHZIeGsVpJ56IS.jpg
강릉 빵다방,강원 강릉시 남강초교1길 24,"42","42150",128.918129,37.769019,강원,https://www.instagram.com/bbang.dabang,"033-642-8807",녹차크림빵,"3000원","2019-12-09",11,https://m.place.naver.com/restaurant/66343890,"매일 12:00 - 20:00|생방송투데이 2376회, 19.07.24. 인절미빵|생활의달인 611회, 18.02.05. 인절미빵|생활의달인 608회, 18.01.15. 인절미빵",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170902_244%2F1504318912884SppQh_JPEG%2FQ0a3WXPsnXhxMFjoxO8H7D1J.PNG.jpg
버튼,강원 강릉시 명주로 2,"42","42150",128.891375,37.750943,강원,"","033-641-8026",밤식빵,"3800원","2019-12-09",12,https://m.place.naver.com/place/18020155,"",,
강릉커피콩빵,강원 강릉시 사천면 진리해변길 69,"42","42150",128.876292,37.83831,강원,"","033-644-5992",커피콩빵(6개입),"4000원","2019-12-09",13,https://m.place.naver.com/place/33633302,매일 10:00 - 21:00,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201014_29%2F1602646546144vRa5Q_JPEG%2F1BCFtrEYTZiW-bvNQSsAXF-u.jpeg.jpg
메타트론,강원 강릉시 선수촌로63번길 30-14 1층 메타트론,"42","42150",128.867201,37.757475,강원,"","033-643-0403",어니언베이글,"3500원","2019-12-09",14,"","",,
식빵고수,강원 강릉시 신대학길 24,"42","42150",128.895772,37.753315,강원,"","033-642-2120",식빵류,"2900원","2019-12-09",15,"","",,
카페누아베이커리,강원 강릉시 입암로 33,"42","42150",128.911803,37.750255,강원,"","033-645-0800",요구르트빵,"5000원","2019-12-09",16,https://m.place.naver.com/restaurant/36408886,매일 08:00 - 23:00,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170427_181%2F1493274590229lvDsw_JPEG%2F186377555970072_0.jpeg
