"menu_id";"id";"menu_nm";"menu_price"
1;1;"플레인데니쉬 하프";"4,900원"
2;1;"에그롤";"2,500원"
3;1;"메이플데니쉬 하프";"5,400원"
4;1;"치즈데니쉬 하프";"6,400원"
5;1;"커피밀크데니쉬 하프";"6,400원"
6;1;"콩떡데니쉬 하프";"6,900원"
7;1;"자색밤고구마 하프";"6,900원"
8;1;"흑임자커피 하프";"6,900원"
9;1;"헤즐넛커피 하프";"6,900원"
10;1;"Pizza데니쉬 하프";"7,400원"
11;1;"마늘크림치즈 하프";"6,900원"
12;1;"먹물치즈 하프";"6,900원"
13;1;"메이플호두 하프";"6,400원"
14;1;"가나슈초코데니쉬 하프";"6,400원"
15;1;"초코나무숲 하프";"6,900원"
16;2;"전통 바게트";"3,500원"
17;2;"크로와상";"3,300원"
18;3;"앙버터";"4,000원"
19;3;"버터프레첼";"3,300원"
20;3;"아메리카노 핫";"1,500원"
21;3;"순수우유식빵";"3,700원"
22;3;"칠곡식빵";"4,200원"
23;3;"바게트";"3,200원"
24;4;"우리밀 통밀빵";"변동"
25;6;"사워도우, 단팥빵, 소시지빵, 크로와상,";"4,000원"
26;6;"소보루/팥빵";"1,600원"
27;8;"마늘바게트";"6,300원"
28;10;"불짬뽕빵";"3,500원"
29;10;"고추잡채소보루";"3,500원"
30;10;"불짬뽕크로켓";"3,500원"
31;10;"사천짜장빵";"3,500원"
32;11;"녹차크림빵";"3,000원"
33;11;"매운용암빵";"3,000원"
34;11;"블랙버거";"4,000원"
35;11;"인절미크림빵";"3,000원"
36;11;"에스프레소";"3,500원"
37;11;"아메리카노";"3,500원"
38;11;"카푸치노";"4,500원"
39;11;"카페라떼";"4,500원"
40;11;"모카라떼";"4,800원"
41;13;"커피콩빵 1팩(12개입)";"7,000원"
42;13;"커피콩빵 선물용 2팩(24개입)";"14,000원"
43;13;"커피콩빵 미니팩(6개입)";"4,000원"
44;13;"커피콩빵 선물용3팩(36개)";"21,000원"
45;13;"커피콩빵택배용";"변동"
46;13;"쵸코빵(앙금없는빵)미니팩(6개)";"3,000원"
47;13;"쵸코빵(앙금없는빵)1팩(12개입)";"5,000원"
48;13;"아메리카노HOT";"2,000원"
49;16;"아메리카노";"2,000원"
50;16;"요구르트빵";"5,000원"
51;16;"마늘바게트";"4,500원"
52;17;"바게트";"3,500원"
53;17;"크루아상";"3,000원"
54;17;"100%통밀빵";"6,000원"
55;17;"올리브치아바타";"3,500원"
56;17;"뺑오쇼콜라";"3,500원"
57;17;"갈릭치아바타샌드위치";"3,500원"
58;17;"아메리카노";"3,000원"
59;17;"밀크티";"5,000원"
60;17;"수제청에이드(레몬/베리)";"5,000원"
61;17;"레몬청티";"4,000원"
62;19;"커피&베이커리";"변동"
63;20;"아메리카노 핫";"5,000원"
64;20;"아메리카노 아이스";"5,500원"
65;20;"에스프레소";"4,500원"
66;20;"카페라떼";"5,500원"
67;20;"카페모카";"5,500원"
68;20;"바닐라라떼";"5,500원"
69;21;"한방백숙 (오리,오골계)";"60,000원"
70;21;"한방백숙 (닭)";"50,000원"
71;21;"해신탕 大";"110,000원"
72;21;"해신탕 中";"90,000원"
73;21;"해신탕 小";"70,000원"
74;22;"카스텔라류";"3,500~7,500"
75;23;"아메리카노";"2,000원"
76;23;"아이스아메리카노";"2,500원"
77;23;"청포도에이드";"3,500원"
78;23;"라떼";"3,000원"
79;23;"연유라떼";"3,500원"
80;25;"마카롱";"2,300원"
81;25;"머랭쿠키";"3,000원"
82;25;"에그타르트";"2,300원"
83;25;"꼬끄후레이크";"2,000원"
84;26;"명란바게트";"5,800원"
85;26;"빵반찬 미니어처 3종 225g(허니버터치아씨드75g,바질잣페스토75g,뽀모도로델솔75g)";"27,000원"
86;26;"바질잣페스토 240g";"28,000원"
87;26;"뽀모도로델솔(썬드라이드토마토) 190g";"변동"
88;26;"허니버터치아씨드 140g";"16,000원"
89;26;"저염무방부제백명란A++1kg";"79,000원"
90;26;"크로와상 레귤러";"2,200원"
91;26;"미니페스트리";"1,300원"
92;26;"바게트";"5,500원"
93;26;"앙버터바게트";"8,800원"
94;26;"유기농통밀깜빠뉴빵(김철민유기농농부)";"8,800원"
95;27;"초코생크림1호";"22,000원"
96;27;"쌀햄치즈로";"3,500원"
97;27;"티라미스1호";"25,000원"
98;27;"아메리카노";"2,000원"
99;27;"다이어트쉬폰";"3,500원"
100;31;"생크림 카스테라";"5,500원"
101;31;"크렌베리스콘";"1,800원"
102;31;"옥수수 식빵";"3,500원"
103;31;"천연 발효 슈크림빵";"1,000원"
104;31;"크로크무슈";"1,800원"
105;31;"마카롱";"1,500원"
106;31;"오투밀 쿠키";"4,000원"
107;31;"쇼콜라 클래식";"5,000원"
108;31;"치즈케이크";"5,000원"
109;31;"아이스 아메리카노";"2,500원"
110;33;"갈릭스테이크 필라프";"10,000원"
111;33;"설로인 스테이크";"150,000원"
112;33;"와규 스테이크";"185,000원"
113;33;"드라이 에이징 스테이크";"185,000원"
114;33;"스폐셜 컷 스테이크";"195,000원"
115;34;"플레인 데니쉬 하프";"4,900원"
116;35;"마늘바게트";"5,700원"
117;35;"연인의빵";"5,700원"
118;35;"아버지바게트";"4,000원"
119;35;"모카롱";"3,800원"
120;35;"사라다빵";"3,500원"
121;36;"보드게임 이용";"500원"
122;36;"아메리카노";"4,000원"
123;36;"카페라떼";"4,300원"
124;36;"모카캐러멜라떼";"4,800원"
125;36;"캐러멜마끼아또";"4,800원"
126;37;"단호박머핀";"변동"
127;37;"초코머핀";"변동"
128;37;"백미큐브식빵";"변동"
129;37;"채소모닝빵";"변동"
130;37;"사과크럼블";"변동"
131;38;"단풍처럼(15개입)";"10,000원"
132;38;"단풍빵 20개입";"12,000원"
133;38;"단풍빵 10개입";"6,000원"
134;39;"마늘바게트";"4,500원"
135;41;"1팩(1set)";"9,000원"
136;41;"고소한치즈";"2,000원"
137;41;"매콤한야채";"1,500원"
138;41;"달콤한단팥";"1,500원"
139;41;"단호박맛";"2,000원"
140;41;"오징어먹물 1개";"2,000원"
141;41;"오징어먹물 5개";"9,000원"
142;42;"원준이엉덩이빵";"3,000원"
143;42;"바질마늘바게트";"4,800원"
144;42;"앙버터";"4,000원"
145;42;"아메리카노";"3,500원"
146;42;"유기농 허브티";"3,500원"
147;43;"고구마카스테라";"4,000원"
148;43;"블루베리빵";"2,000원"
149;43;"고구마식빵";"3,000원"
150;43;"호두타르트";"1,200원"
151;44;"크루아상";"3,500원"
152;44;"뺑오쇼콜라";"3,800원"
153;44;"크루아상자망드";"4,000원"
154;44;"뺑오자망드";"4,300원"
155;44;"퀸아망";"3,800원"
156;44;"커스터드 페이스트리";"4,200원"
157;44;"스콘 오 마차";"3,400원"
158;44;"플레인스콘";"3,400원"
159;44;"캐러멜쇼콜라스콘";"3,600원"
160;44;"올리브 치아바타";"3,500원"
161;44;"롤치즈 치아바타";"3,800원"
162;44;"크랜베리 깜빠뉴";"5,600원"
163;44;"살구깜빠뉴";"5,600원"
164;44;"통밀빵";"3,800원"
165;44;"바게트";"3,800원"
166;45;"크로크무슈 샐러드";"10,000원"
167;45;"크로크마담 샐러드";"11,000원"
168;45;"프렌치토스트";"12,000원"
169;46;"생크림케이크1호";"26,000원"
170;46;"천연발효빵";"변동"
171;46;"앙버터";"3,500원"
172;46;"통밀빵";"4,000원"
173;46;"애플데니쉬";"3,500원"
174;46;"파운드케이크";"5,000원"
175;46;"우리밀식빵";"4,000원"
176;46;"당근케이크1호";"26,000원"
177;46;"크림치즈베이글";"4,500원"
178;46;"마들렌";"2,000원"
179;46;"머핀";"2,000원"
180;46;"딸기타르트";"40,000원"
181;46;"마늘빵";"3,000원"
182;46;"러스크";"2,500원"
183;46;"슈톨렌";"20,000원"
184;47;"마로니에";"2,200원"
185;47;"아메리카노 Hot";"2,500원"
186;47;"아메리카노 Ice";"3,000원"
187;47;"카페라떼";"3,500원"
188;47;"카페모카";"4,500원"
189;47;"자몽에이드";"5,500원"
190;47;"레몬에이드";"5,000원"
191;47;"청포도에이드";"4,500원"
192;47;"패션후르츠에이드";"4,500원"
193;47;"당근케이크 (조각)";"5,500원"
194;47;"레몬마들렌";"1,500원"
195;47;"꿀바른스콘";"2,000원"
196;47;"초콜릿생크림케이크";"6,500원"
197;47;"아이리쉬모카케이크";"5,500원"
198;47;"딸기케이크";"6,000원"
199;48;"델리스";"30,000~40,000"
200;48;"누아까페";"30,000~40,000"
201;48;"아몬드 크림파이";"3,500원"
202;48;"밀푀유";"6,500원"
203;49;"세라비";"45,000원"
204;49;"생크림데코";"45,000원"
205;49;"카스텔라";"변동"
206;49;"구움과자";"변동"
207;50;"크림치즈모찌빵";"2,000원"
208;50;"산딸기바게트";"3,500원"
209;51;"고구마베이글";"4,000원"
210;51;"마늘바게트";"5,000원"
211;51;"연유 바게트";"5,000원"
212;51;"새우바게트";"5,000원"
213;51;"보리식빵";"6,000원"
214;51;"크로와상";"3,800원"
215;52;"커피";"2,500원"
216;52;"수제어묵";"2,000원"
217;52;"식빵";"4,200원"
218;52;"유기농빵";"1,800원"
219;52;"도넛";"1,000원"
220;53;"자몽에이드";"5,000원"
221;53;"레몬에이드";"5,000원"
222;53;"청포도에이드";"5,000원"
223;53;"딸기쥬스";"6,000원"
224;53;"토마토쥬스";"6,000원"
225;55;"유기농 밀 수제식빵";"변동"
226;55;"커피";"변동"
227;58;"황태빵 만쥬8개";"10,000원"
228;58;"참스틱(황태과자)";"3,500원"
229;58;"참스틱(선물용)";"7,000원"
230;60;"아메리카노";"3,500원"
231;60;"카페라떼";"4,300원"
232;60;"허니자몽차";"4,500원"
233;60;"레몬에이드";"4,800원"
234;60;"초코";"4,000원"
235;62;"아메리카노";"3,500원"
236;62;"카페라떼";"4,000원"
237;62;"카푸치노";"4,000원"
238;62;"홍차";"3,500원"
239;62;"우유";"2,000원"
240;63;"100% 통밀 무화과 치아바타";"4,800원"
241;63;"단팥 치아바타 (국산 단팥)";"3,700원"
242;63;"플레인 치아바타";"3,700원"
243;63;"100% 통밀빵 뺑페이장";"15,900원"
244;63;"100% 호밀빵 치아바타";"10,000원"
245;63;"100% 통밀 식빵";"10,000원"
246;63;"고구마 치아바타";"4,800원"
247;63;"단호박 치아바타";"4,800원"
248;63;"치즈 치아바타";"4,600원"
249;63;"올리브 치아바타";"5,200원"
250;63;"크림치즈인스틱 브레드";"4,400원"
251;63;"저염 발아현미 뺑페이장";"17,500원"
252;63;"호두 크랜베리 깜빠뉴";"11,000원"
253;63;"유기농 밀 식빵";"10,000원"
254;63;"밀라노 피자 치아바타";"6,800원"
255;64;"에스프레소";"4,000원"
256;64;"아메리카노";"4,000원"
257;64;"카페라떼";"4,500원"
258;64;"카푸치노";"4,500원"
259;64;"카페모카";"5,000원"
260;64;"바닐라라떼";"5,000원"
261;64;"코코넛라떼";"5,000원"
262;64;"카라멜마끼야또";"5,000원"
263;64;"녹차라떼";"4,500원"
264;64;"초콜릿라떼";"4,500원"
265;65;"에스프레소";"4,500원"
266;65;"에스프레소 콘파냐";"5,000원"
267;65;"아메리카노";"4,500원"
268;65;"카페라떼";"5,000원"
269;65;"카푸치노";"5,000원"
270;66;"아메리카노";"4,000원"
271;66;"브런치";"9,900원"
272;66;"더치커피";"5,000원"
273;66;"카페라떼";"4,500원"
274;66;"카푸치노";"4,500원"
275;66;"바닐라라떼";"4,500원"
276;66;"딸기라떼";"6,000원"
277;67;"비엔나커피";"5,000원"
278;67;"말차비엔나커피";"6,000원"
279;67;"아메리카노";"3,500원"
280;67;"라떼";"4,000원"
281;67;"화덕피자쓰";"8,000원"
282;69;"건강빵/치아바타/깜파뉴";"4,000원"
283;69;"아메리카노";"5,000원"
284;69;"건강빵";"5,000원"
285;69;"에스프레소";"5,000원"
286;69;"카푸치노";"6,000원"
287;69;"카페라떼";"6,000원"
288;69;"카페모카";"6,000원"
289;69;"바닐라라떼";"6,000원"
290;70;"아보카도샌드위치+아메리카노";"14,000원"
291;70;"아메리카노";"4,000원"
292;70;"아인슈패너";"5,500원"
293;70;"수제요거트파르페";"6,000원"
294;70;"수제대추차,생강차";"5,500원"
295;70;"감자빵";"4,500원"
296;70;"쫄깃한탕종식빵";"4,500원"
297;70;"무화과크라프트";"5,000원"
298;70;"치즈카스테라";"6,500원"
299;70;"느린밀브런치+아메리카노";"13,000원"
300;70;"아보카도라이스+아메리카노";"13,000원"
301;70;"리코타샐러드와빵";"13,000원"
302;71;"매콤한 치아바타";"변동"
303;71;"스콘";"변동"
304;71;"통밀식빵";"변동"
305;71;"소보루빵";"변동"
306;71;"감자치아바타";"변동"
307;72;"호두파이 소";"2,500원"
308;72;"호두파이 중";"6,000원"
309;72;"호두파이 대";"18,000원"
310;72;"호두파이 특대";"25,000원"
311;72;"간식용 호두과자 9개";"3,000원"
312;72;"간식용 호두과자 16개";"5,000원"
313;72;"선물용 호두과자 미니 (16개)";"6,000원"
314;72;"선물용 호두과자 소 (32개)";"12,000원"
315;72;"선물용 호두과자 중 (50개)";"17,000원"
316;72;"선물용 호두과자 대 (72개)";"25,000원"
317;72;"선물용 호두과자(25개)+호두파이(소4개)";"18,000원"
318;72;"선물용 호두과자(36개)+호두파이(중4개)";"36,000원"
319;72;"아메리카노 hot";"1,500원"
320;72;"아메리카노 ice";"2,000원"
